value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.012398374266922474,-0.021652735769748688,0.03757324814796448,-0.09831098467111588,0.7620173692703247,0.11269646883010864,0.21225062012672424,-0.018697626888751984,0.8302247524261475,0.4888622760772705,0
0.02194186858832836,-36.18370819091797,-3.872911214828491,-38.341949462890625,0.9945024251937866,-36.88560104370117,-3.4482479095458984,-39.07974624633789,9.865330696105957,0.34778106212615967,10000
0.09363289177417755,-52.9713020324707,0.7717874646186829,-60.766143798828125,0.927120566368103,-53.64227294921875,1.262322187423706,-61.18712615966797,24.872215270996094,0.26318424940109253,20000
0.13627009093761444,-58.62005615234375,-3.858915328979492,-73.48796844482422,1.1229567527770996,-59.46669006347656,-3.055260419845581,-73.67078399658203,15.141044616699219,0.19860054552555084,30000
0.1963658481836319,-61.106327056884766,-1.4128024578094482,-79.42720794677734,1.1758981943130493,-61.55225372314453,-3.1392245292663574,-79.53770446777344,56.067596435546875,0.19029821455478668,40000
0.1405157744884491,-61.51146697998047,-1.0725349187850952,-82.44196319580078,0.8334459066390991,-61.77757263183594,-2.2093982696533203,-82.52009582519531,62.76871871948242,0.18626146018505096,50000
0.22528675198554993,-61.05579376220703,1.1173992156982422,-83.84748840332031,1.3035013675689697,-61.32075500488281,-0.30738282203674316,-83.95907592773438,22.304889678955078,0.17037831246852875,60000
0.11896713078022003,-61.180809020996094,0.13377052545547485,-84.33422088623047,1.0077438354492188,-61.81121826171875,-0.07011537253856659,-84.4695816040039,45.19711685180664,0.17496851086616516,70000
0.1137356087565422,-60.02240753173828,0.72980797290802,-84.9232177734375,1.2327914237976074,-60.471214294433594,-0.07655732333660126,-84.97491455078125,50.45582580566406,0.1694297045469284,80000
0.15057477355003357,-59.81700897216797,0.7379916906356812,-85.10738372802734,0.8831638693809509,-60.22545623779297,-0.18124477565288544,-85.09320068359375,44.913352966308594,0.15781372785568237,90000
